code,predicted_pm2.5,geometry
55,5.6883106, -0.150818888854941 51.46171004780764_ -0.150818888854941 51.462772882432816_ -0.1525258741811697 51.462772882432816_ -0.1525258741811697 51.46171004780764_ -0.150818888854941 51.46171004780764
56,5.963516, -0.150818888854941 51.462772882432816_ -0.150818888854941 51.463835717058_ -0.1525258741811697 51.463835717058_ -0.1525258741811697 51.462772882432816_ -0.150818888854941 51.462772882432816
57,6.4108076, -0.150818888854941 51.463835717058_ -0.150818888854941 51.46489855168317_ -0.1525258741811697 51.46489855168317_ -0.1525258741811697 51.463835717058_ -0.150818888854941 51.463835717058
58,7.4186974, -0.150818888854941 51.46489855168317_ -0.150818888854941 51.46596138630835_ -0.1525258741811697 51.46596138630835_ -0.1525258741811697 51.46489855168317_ -0.150818888854941 51.46489855168317
59,6.740802, -0.150818888854941 51.46596138630835_ -0.150818888854941 51.467024220933524_ -0.1525258741811697 51.467024220933524_ -0.1525258741811697 51.46596138630835_ -0.150818888854941 51.46596138630835
60,7.0549364, -0.150818888854941 51.467024220933524_ -0.150818888854941 51.468087055558705_ -0.1525258741811697 51.468087055558705_ -0.1525258741811697 51.467024220933524_ -0.150818888854941 51.467024220933524
61,6.759136, -0.150818888854941 51.468087055558705_ -0.150818888854941 51.46914989018388_ -0.1525258741811697 51.46914989018388_ -0.1525258741811697 51.468087055558705_ -0.150818888854941 51.468087055558705
62,6.3156385, -0.150818888854941 51.46914989018388_ -0.150818888854941 51.47021272480905_ -0.1525258741811697 51.47021272480905_ -0.1525258741811697 51.46914989018388_ -0.150818888854941 51.46914989018388
63,6.2381854, -0.150818888854941 51.47021272480905_ -0.150818888854941 51.47127555943423_ -0.1525258741811697 51.47127555943423_ -0.1525258741811697 51.47021272480905_ -0.150818888854941 51.47021272480905
64,5.953645, -0.150818888854941 51.47127555943423_ -0.150818888854941 51.472338394059406_ -0.1525258741811697 51.472338394059406_ -0.1525258741811697 51.47127555943423_ -0.150818888854941 51.47127555943423
65,5.9227695, -0.150818888854941 51.472338394059406_ -0.150818888854941 51.47340122868459_ -0.1525258741811697 51.47340122868459_ -0.1525258741811697 51.472338394059406_ -0.150818888854941 51.472338394059406
66,6.043963, -0.150818888854941 51.47340122868459_ -0.150818888854941 51.47446406330976_ -0.1525258741811697 51.47446406330976_ -0.1525258741811697 51.47340122868459_ -0.150818888854941 51.47340122868459
67,5.948942, -0.150818888854941 51.47446406330976_ -0.150818888854941 51.47552689793494_ -0.1525258741811697 51.47552689793494_ -0.1525258741811697 51.47446406330976_ -0.150818888854941 51.47446406330976
68,5.9652996, -0.150818888854941 51.47552689793494_ -0.150818888854941 51.476589732560114_ -0.1525258741811697 51.476589732560114_ -0.1525258741811697 51.47552689793494_ -0.150818888854941 51.47552689793494
69,5.886631, -0.150818888854941 51.476589732560114_ -0.150818888854941 51.477652567185295_ -0.1525258741811697 51.477652567185295_ -0.1525258741811697 51.476589732560114_ -0.150818888854941 51.476589732560114
70,5.7931557, -0.150818888854941 51.477652567185295_ -0.150818888854941 51.47871540181047_ -0.1525258741811697 51.47871540181047_ -0.1525258741811697 51.477652567185295_ -0.150818888854941 51.477652567185295
71,5.7811127, -0.150818888854941 51.47871540181047_ -0.150818888854941 51.47977823643564_ -0.1525258741811697 51.47977823643564_ -0.1525258741811697 51.47871540181047_ -0.150818888854941 51.47871540181047
72,5.8800426, -0.150818888854941 51.47977823643564_ -0.150818888854941 51.48084107106082_ -0.1525258741811697 51.48084107106082_ -0.1525258741811697 51.47977823643564_ -0.150818888854941 51.47977823643564
73,5.669097, -0.150818888854941 51.48084107106082_ -0.150818888854941 51.481903905685996_ -0.1525258741811697 51.481903905685996_ -0.1525258741811697 51.48084107106082_ -0.150818888854941 51.48084107106082
74,5.8466425, -0.150818888854941 51.481903905685996_ -0.150818888854941 51.48296674031118_ -0.1525258741811697 51.48296674031118_ -0.1525258741811697 51.481903905685996_ -0.150818888854941 51.481903905685996
75,5.842739, -0.150818888854941 51.48296674031118_ -0.150818888854941 51.48402957493635_ -0.1525258741811697 51.48402957493635_ -0.1525258741811697 51.48296674031118_ -0.150818888854941 51.48296674031118
76,5.949151, -0.150818888854941 51.48402957493635_ -0.150818888854941 51.48509240956153_ -0.1525258741811697 51.48509240956153_ -0.1525258741811697 51.48402957493635_ -0.150818888854941 51.48402957493635
77,5.725843, -0.150818888854941 51.48509240956153_ -0.150818888854941 51.486155244186705_ -0.1525258741811697 51.486155244186705_ -0.1525258741811697 51.48509240956153_ -0.150818888854941 51.48509240956153
