source,target,length
276557_,276558_,43.708
276558_,31200011_,50.696
276558_,8064530876_,159.742
276559_,8049093615_,3.899
276559_,8064530876_,65.864
276559_,7143435496_,42.846999999999994
11776193_,973649552_,9.863
11776193_,26389631_,55.44199999999999
11776193_,84829598_,36.538
11776194_,26389654_,55.43
11776194_,1351876711_,13.385000000000002
11776194_,1351876729_,12.421
11776194_,1508464354_,67.808
11776196_,8194160544_,7.49
11776196_,1508464351_,60.164
11776196_,1288838199_,34.553
11776198_,7849582086_,40.571
11776198_,91803735_,45.756
11776198_,1414777249_,10.797
11776198_,1288838199_,18.340999999999998
11776200_,91807047_,41.785
11776200_,91805309_,52.888
11776302_,282218843_,48.524
12195530_,76617762_,21.717
12195530_,1691189588_,44.891
12195530_,8157532398_,87.45599999999999
12195530_,7654237748_,74.038
12195919_,1120466280_,14.132
12195919_,5838630847_,15.176
12195919_,1120466283_,13.949
12195919_,385312258_,57.548
12195919_,391596009_,21.099
12196057_,6561682354_,66.541
12196057_,26389299_,84.841
12196057_,3158128762_,62.423
12196664_,20947339_,123.931
12196664_,735391283_,14.745
12196664_,1973883128_,9.452
12196781_,1973882968_,6.469
12196781_,306462537_,29.377
12196781_,306462607_,85.441
12196781_,306462297_,23.578
13566029_,27510767_,72.137
13566029_,8194649861_,11.851
13566029_,8194649854_,46.331
13566029_,8195791341_,144.767
13566030_,8193289376_,65.255
13566030_,8194649866_,67.027
13566030_,8194649864_,19.27
13566032_,8323860631_,13.011
13566032_,7985579736_,70.441
13566041_,5203355740_,29.385
13566041_,8758293272_,33.327
14454852_,3121866632_,10.532
14454852_,2808877328_,11.57
14454852_,84835224_,37.312
14454856_,7748179116_,25.847
14454856_,8508503717_,90.76899999999999
14454856_,882800144_,174.94
14454856_,307847785_,49.509
14457894_,27089784_,24.546
14457894_,14457897_,63.576
14457894_,1960925514_,30.539
14457897_,27089782_,21.383
14457897_,1960954870_,62.293
18126595_,919626565_,8.751
18126595_,1311644581_,52.82
18126595_,919626561_,56.729
18126978_,20961326_,68.304
18126978_,3796962982_,53.128
18126978_,33203760_,40.083999999999996
18126986_,20961322_,16.863
