code,predicted_pm2.5,geometry
15,5.1599326, -0.1491119035287124 51.477652567185295_ -0.1491119035287124 51.47871540181047_ -0.150818888854941 51.47871540181047_ -0.150818888854941 51.477652567185295_ -0.1491119035287124 51.477652567185295
16,5.397292, -0.1491119035287124 51.47871540181047_ -0.1491119035287124 51.47977823643564_ -0.150818888854941 51.47977823643564_ -0.150818888854941 51.47871540181047_ -0.1491119035287124 51.47871540181047
17,5.3988037, -0.1491119035287124 51.47977823643564_ -0.1491119035287124 51.48084107106082_ -0.150818888854941 51.48084107106082_ -0.150818888854941 51.47977823643564_ -0.1491119035287124 51.47977823643564
18,5.250299, -0.1491119035287124 51.48084107106082_ -0.1491119035287124 51.481903905685996_ -0.150818888854941 51.481903905685996_ -0.150818888854941 51.48084107106082_ -0.1491119035287124 51.48084107106082
19,4.9257545, -0.1491119035287124 51.481903905685996_ -0.1491119035287124 51.48296674031118_ -0.150818888854941 51.48296674031118_ -0.150818888854941 51.481903905685996_ -0.1491119035287124 51.481903905685996
20,5.2320285, -0.1491119035287124 51.48296674031118_ -0.1491119035287124 51.48402957493635_ -0.150818888854941 51.48402957493635_ -0.150818888854941 51.48296674031118_ -0.1491119035287124 51.48296674031118
21,5.2212067, -0.1491119035287124 51.48402957493635_ -0.1491119035287124 51.48509240956153_ -0.150818888854941 51.48509240956153_ -0.150818888854941 51.48402957493635_ -0.1491119035287124 51.48402957493635
22,5.900839, -0.1491119035287124 51.48509240956153_ -0.1491119035287124 51.486155244186705_ -0.150818888854941 51.486155244186705_ -0.150818888854941 51.48509240956153_ -0.1491119035287124 51.48509240956153
23,5.8669734, -0.1491119035287124 51.486155244186705_ -0.1491119035287124 51.48721807881188_ -0.150818888854941 51.48721807881188_ -0.150818888854941 51.486155244186705_ -0.1491119035287124 51.486155244186705
24,4.9722414, -0.1491119035287124 51.48721807881188_ -0.1491119035287124 51.48828091343706_ -0.150818888854941 51.48828091343706_ -0.150818888854941 51.48721807881188_ -0.1491119035287124 51.48721807881188
25,7.019575, -0.1491119035287124 51.48828091343706_ -0.1491119035287124 51.48934374806223_ -0.150818888854941 51.48934374806223_ -0.150818888854941 51.48828091343706_ -0.1491119035287124 51.48828091343706
