code,geometry
998, -0.1741476883133991 51.49873212058463_ -0.1741476883133991 51.49970638565771_ -0.175712424862442 51.49970638565771_ -0.175712424862442 51.49873212058463_ -0.1741476883133991 51.49873212058463
999, -0.1741476883133991 51.49970638565771_ -0.1741476883133991 51.500680650730786_ -0.175712424862442 51.500680650730786_ -0.175712424862442 51.49970638565771_ -0.1741476883133991 51.49970638565771
1000, -0.1741476883133991 51.500680650730786_ -0.1741476883133991 51.50165491580386_ -0.175712424862442 51.50165491580386_ -0.175712424862442 51.500680650730786_ -0.1741476883133991 51.500680650730786
1001, -0.1741476883133991 51.50165491580386_ -0.1741476883133991 51.502629180876944_ -0.175712424862442 51.502629180876944_ -0.175712424862442 51.50165491580386_ -0.1741476883133991 51.50165491580386
1002, -0.1741476883133991 51.502629180876944_ -0.1741476883133991 51.50360344595002_ -0.175712424862442 51.50360344595002_ -0.175712424862442 51.502629180876944_ -0.1741476883133991 51.502629180876944
1003, -0.1741476883133991 51.50360344595002_ -0.1741476883133991 51.5045777110231_ -0.175712424862442 51.5045777110231_ -0.175712424862442 51.50360344595002_ -0.1741476883133991 51.50360344595002
1004, -0.1741476883133991 51.5045777110231_ -0.1741476883133991 51.50555197609618_ -0.175712424862442 51.50555197609618_ -0.175712424862442 51.5045777110231_ -0.1741476883133991 51.5045777110231
1005, -0.1741476883133991 51.50555197609618_ -0.1741476883133991 51.506526241169254_ -0.175712424862442 51.506526241169254_ -0.175712424862442 51.50555197609618_ -0.1741476883133991 51.50555197609618
1006, -0.1741476883133991 51.506526241169254_ -0.1741476883133991 51.50750050624234_ -0.175712424862442 51.50750050624234_ -0.175712424862442 51.506526241169254_ -0.1741476883133991 51.506526241169254
1007, -0.1741476883133991 51.50750050624234_ -0.1741476883133991 51.50847477131541_ -0.175712424862442 51.50847477131541_ -0.175712424862442 51.50750050624234_ -0.1741476883133991 51.50750050624234
1008, -0.1741476883133991 51.50847477131541_ -0.1741476883133991 51.509449036388496_ -0.175712424862442 51.509449036388496_ -0.175712424862442 51.50847477131541_ -0.1741476883133991 51.50847477131541
1009, -0.1741476883133991 51.509449036388496_ -0.1741476883133991 51.51042330146157_ -0.175712424862442 51.51042330146157_ -0.175712424862442 51.509449036388496_ -0.1741476883133991 51.509449036388496
1010, -0.1741476883133991 51.51042330146157_ -0.1741476883133991 51.51139756653465_ -0.175712424862442 51.51139756653465_ -0.175712424862442 51.51042330146157_ -0.1741476883133991 51.51042330146157
1011, -0.1741476883133991 51.51139756653465_ -0.1741476883133991 51.51237183160773_ -0.175712424862442 51.51237183160773_ -0.175712424862442 51.51139756653465_ -0.1741476883133991 51.51139756653465
1012, -0.1741476883133991 51.51237183160773_ -0.1741476883133991 51.513346096680806_ -0.175712424862442 51.513346096680806_ -0.175712424862442 51.51237183160773_ -0.1741476883133991 51.51237183160773
1013, -0.1741476883133991 51.513346096680806_ -0.1741476883133991 51.51432036175389_ -0.175712424862442 51.51432036175389_ -0.175712424862442 51.513346096680806_ -0.1741476883133991 51.513346096680806
1014, -0.1741476883133991 51.51432036175389_ -0.1741476883133991 51.515294626826964_ -0.175712424862442 51.515294626826964_ -0.175712424862442 51.51432036175389_ -0.1741476883133991 51.51432036175389
1015, -0.1741476883133991 51.515294626826964_ -0.1741476883133991 51.51626889190004_ -0.175712424862442 51.51626889190004_ -0.175712424862442 51.515294626826964_ -0.1741476883133991 51.515294626826964
1016, -0.1741476883133991 51.51626889190004_ -0.1741476883133991 51.51724315697312_ -0.175712424862442 51.51724315697312_ -0.175712424862442 51.51626889190004_ -0.1741476883133991 51.51626889190004
1017, -0.1741476883133991 51.51724315697312_ -0.1741476883133991 51.5182174220462_ -0.175712424862442 51.5182174220462_ -0.175712424862442 51.51724315697312_ -0.1741476883133991 51.51724315697312
1018, -0.1741476883133991 51.5182174220462_ -0.1741476883133991 51.51919168711928_ -0.175712424862442 51.51919168711928_ -0.175712424862442 51.5182174220462_ -0.1741476883133991 51.5182174220462
1019, -0.1741476883133991 51.51919168711928_ -0.1741476883133991 51.52016595219236_ -0.175712424862442 51.52016595219236_ -0.175712424862442 51.51919168711928_ -0.1741476883133991 51.51919168711928
1020, -0.175712424862442 51.46171004780764_ -0.175712424862442 51.46268431288072_ -0.177277161411485 51.46268431288072_ -0.177277161411485 51.46171004780764_ -0.175712424862442 51.46171004780764
1021, -0.175712424862442 51.46268431288072_ -0.175712424862442 51.4636585779538_ -0.177277161411485 51.4636585779538_ -0.177277161411485 51.46268431288072_ -0.175712424862442 51.46268431288072
1022, -0.175712424862442 51.4636585779538_ -0.175712424862442 51.46463284302688_ -0.177277161411485 51.46463284302688_ -0.177277161411485 51.4636585779538_ -0.175712424862442 51.4636585779538
1023, -0.175712424862442 51.46463284302688_ -0.175712424862442 51.46560710809996_ -0.177277161411485 51.46560710809996_ -0.177277161411485 51.46463284302688_ -0.175712424862442 51.46463284302688
1024, -0.175712424862442 51.46560710809996_ -0.175712424862442 51.466581373173035_ -0.177277161411485 51.466581373173035_ -0.177277161411485 51.46560710809996_ -0.175712424862442 51.46560710809996
1025, -0.175712424862442 51.466581373173035_ -0.175712424862442 51.46755563824611_ -0.177277161411485 51.46755563824611_ -0.177277161411485 51.466581373173035_ -0.175712424862442 51.466581373173035
1026, -0.175712424862442 51.46755563824611_ -0.175712424862442 51.468529903319194_ -0.177277161411485 51.468529903319194_ -0.177277161411485 51.46755563824611_ -0.175712424862442 51.46755563824611
1027, -0.175712424862442 51.468529903319194_ -0.175712424862442 51.46950416839227_ -0.177277161411485 51.46950416839227_ -0.177277161411485 51.468529903319194_ -0.175712424862442 51.468529903319194
1028, -0.175712424862442 51.46950416839227_ -0.175712424862442 51.47047843346535_ -0.177277161411485 51.47047843346535_ -0.177277161411485 51.46950416839227_ -0.175712424862442 51.46950416839227
1029, -0.175712424862442 51.47047843346535_ -0.175712424862442 51.47145269853843_ -0.177277161411485 51.47145269853843_ -0.177277161411485 51.47047843346535_ -0.175712424862442 51.47047843346535
1030, -0.175712424862442 51.47145269853843_ -0.175712424862442 51.472426963611504_ -0.177277161411485 51.472426963611504_ -0.177277161411485 51.47145269853843_ -0.175712424862442 51.47145269853843
1031, -0.175712424862442 51.472426963611504_ -0.175712424862442 51.47340122868459_ -0.177277161411485 51.47340122868459_ -0.177277161411485 51.472426963611504_ -0.175712424862442 51.472426963611504
1032, -0.175712424862442 51.47340122868459_ -0.175712424862442 51.47437549375766_ -0.177277161411485 51.47437549375766_ -0.177277161411485 51.47340122868459_ -0.175712424862442 51.47340122868459
1033, -0.175712424862442 51.47437549375766_ -0.175712424862442 51.475349758830745_ -0.177277161411485 51.475349758830745_ -0.177277161411485 51.47437549375766_ -0.175712424862442 51.47437549375766
1034, -0.175712424862442 51.475349758830745_ -0.175712424862442 51.47632402390382_ -0.177277161411485 51.47632402390382_ -0.177277161411485 51.475349758830745_ -0.175712424862442 51.475349758830745
1035, -0.175712424862442 51.47632402390382_ -0.175712424862442 51.4772982889769_ -0.177277161411485 51.4772982889769_ -0.177277161411485 51.47632402390382_ -0.175712424862442 51.47632402390382
1036, -0.175712424862442 51.4772982889769_ -0.175712424862442 51.47827255404998_ -0.177277161411485 51.47827255404998_ -0.177277161411485 51.4772982889769_ -0.175712424862442 51.4772982889769
1037, -0.175712424862442 51.47827255404998_ -0.175712424862442 51.479246819123055_ -0.177277161411485 51.479246819123055_ -0.177277161411485 51.47827255404998_ -0.175712424862442 51.47827255404998
1038, -0.175712424862442 51.479246819123055_ -0.175712424862442 51.48022108419614_ -0.177277161411485 51.48022108419614_ -0.177277161411485 51.479246819123055_ -0.175712424862442 51.479246819123055
1039, -0.175712424862442 51.48022108419614_ -0.175712424862442 51.481195349269214_ -0.177277161411485 51.481195349269214_ -0.177277161411485 51.48022108419614_ -0.175712424862442 51.48022108419614
1040, -0.175712424862442 51.481195349269214_ -0.175712424862442 51.48216961434229_ -0.177277161411485 51.48216961434229_ -0.177277161411485 51.481195349269214_ -0.175712424862442 51.481195349269214
1041, -0.175712424862442 51.48216961434229_ -0.175712424862442 51.48314387941537_ -0.177277161411485 51.48314387941537_ -0.177277161411485 51.48216961434229_ -0.175712424862442 51.48216961434229
1042, -0.175712424862442 51.48314387941537_ -0.175712424862442 51.48411814448845_ -0.177277161411485 51.48411814448845_ -0.177277161411485 51.48314387941537_ -0.175712424862442 51.48314387941537
1043, -0.175712424862442 51.48411814448845_ -0.175712424862442 51.48509240956153_ -0.177277161411485 51.48509240956153_ -0.177277161411485 51.48411814448845_ -0.175712424862442 51.48411814448845
1044, -0.175712424862442 51.48509240956153_ -0.175712424862442 51.48606667463461_ -0.177277161411485 51.48606667463461_ -0.177277161411485 51.48509240956153_ -0.175712424862442 51.48509240956153
1045, -0.175712424862442 51.48606667463461_ -0.175712424862442 51.48704093970768_ -0.177277161411485 51.48704093970768_ -0.177277161411485 51.48606667463461_ -0.175712424862442 51.48606667463461
1046, -0.175712424862442 51.48704093970768_ -0.175712424862442 51.488015204780766_ -0.177277161411485 51.488015204780766_ -0.177277161411485 51.48704093970768_ -0.175712424862442 51.48704093970768
1047, -0.175712424862442 51.488015204780766_ -0.175712424862442 51.48898946985384_ -0.177277161411485 51.48898946985384_ -0.177277161411485 51.488015204780766_ -0.175712424862442 51.488015204780766
1048, -0.175712424862442 51.48898946985384_ -0.175712424862442 51.489963734926924_ -0.177277161411485 51.489963734926924_ -0.177277161411485 51.48898946985384_ -0.175712424862442 51.48898946985384
1049, -0.175712424862442 51.489963734926924_ -0.175712424862442 51.490938_ -0.177277161411485 51.490938_ -0.177277161411485 51.489963734926924_ -0.175712424862442 51.489963734926924
1050, -0.175712424862442 51.490938_ -0.175712424862442 51.491912265073076_ -0.177277161411485 51.491912265073076_ -0.177277161411485 51.490938_ -0.175712424862442 51.490938
1051, -0.175712424862442 51.491912265073076_ -0.175712424862442 51.49288653014616_ -0.177277161411485 51.49288653014616_ -0.177277161411485 51.491912265073076_ -0.175712424862442 51.491912265073076
1052, -0.175712424862442 51.49288653014616_ -0.175712424862442 51.493860795219234_ -0.177277161411485 51.493860795219234_ -0.177277161411485 51.49288653014616_ -0.175712424862442 51.49288653014616
1053, -0.175712424862442 51.493860795219234_ -0.175712424862442 51.49483506029232_ -0.177277161411485 51.49483506029232_ -0.177277161411485 51.493860795219234_ -0.175712424862442 51.493860795219234
1054, -0.175712424862442 51.49483506029232_ -0.175712424862442 51.49580932536539_ -0.177277161411485 51.49580932536539_ -0.177277161411485 51.49483506029232_ -0.175712424862442 51.49483506029232
1055, -0.175712424862442 51.49580932536539_ -0.175712424862442 51.49678359043847_ -0.177277161411485 51.49678359043847_ -0.177277161411485 51.49580932536539_ -0.175712424862442 51.49580932536539
1056, -0.175712424862442 51.49678359043847_ -0.175712424862442 51.49775785551155_ -0.177277161411485 51.49775785551155_ -0.177277161411485 51.49678359043847_ -0.175712424862442 51.49678359043847
1057, -0.175712424862442 51.49775785551155_ -0.175712424862442 51.49873212058463_ -0.177277161411485 51.49873212058463_ -0.177277161411485 51.49775785551155_ -0.175712424862442 51.49775785551155
1058, -0.175712424862442 51.49873212058463_ -0.175712424862442 51.49970638565771_ -0.177277161411485 51.49970638565771_ -0.177277161411485 51.49873212058463_ -0.175712424862442 51.49873212058463
1059, -0.175712424862442 51.49970638565771_ -0.175712424862442 51.500680650730786_ -0.177277161411485 51.500680650730786_ -0.177277161411485 51.49970638565771_ -0.175712424862442 51.49970638565771
1060, -0.175712424862442 51.500680650730786_ -0.175712424862442 51.50165491580386_ -0.177277161411485 51.50165491580386_ -0.177277161411485 51.500680650730786_ -0.175712424862442 51.500680650730786
1061, -0.175712424862442 51.50165491580386_ -0.175712424862442 51.502629180876944_ -0.177277161411485 51.502629180876944_ -0.177277161411485 51.50165491580386_ -0.175712424862442 51.50165491580386
1062, -0.175712424862442 51.502629180876944_ -0.175712424862442 51.50360344595002_ -0.177277161411485 51.50360344595002_ -0.177277161411485 51.502629180876944_ -0.175712424862442 51.502629180876944
1063, -0.175712424862442 51.50360344595002_ -0.175712424862442 51.5045777110231_ -0.177277161411485 51.5045777110231_ -0.177277161411485 51.50360344595002_ -0.175712424862442 51.50360344595002
1064, -0.175712424862442 51.5045777110231_ -0.175712424862442 51.50555197609618_ -0.177277161411485 51.50555197609618_ -0.177277161411485 51.5045777110231_ -0.175712424862442 51.5045777110231
1065, -0.175712424862442 51.50555197609618_ -0.175712424862442 51.506526241169254_ -0.177277161411485 51.506526241169254_ -0.177277161411485 51.50555197609618_ -0.175712424862442 51.50555197609618
1066, -0.175712424862442 51.506526241169254_ -0.175712424862442 51.50750050624234_ -0.177277161411485 51.50750050624234_ -0.177277161411485 51.506526241169254_ -0.175712424862442 51.506526241169254
1067, -0.175712424862442 51.50750050624234_ -0.175712424862442 51.50847477131541_ -0.177277161411485 51.50847477131541_ -0.177277161411485 51.50750050624234_ -0.175712424862442 51.50750050624234
1068, -0.175712424862442 51.50847477131541_ -0.175712424862442 51.509449036388496_ -0.177277161411485 51.509449036388496_ -0.177277161411485 51.50847477131541_ -0.175712424862442 51.50847477131541
1069, -0.175712424862442 51.509449036388496_ -0.175712424862442 51.51042330146157_ -0.177277161411485 51.51042330146157_ -0.177277161411485 51.509449036388496_ -0.175712424862442 51.509449036388496
1070, -0.175712424862442 51.51042330146157_ -0.175712424862442 51.51139756653465_ -0.177277161411485 51.51139756653465_ -0.177277161411485 51.51042330146157_ -0.175712424862442 51.51042330146157
1071, -0.175712424862442 51.51139756653465_ -0.175712424862442 51.51237183160773_ -0.177277161411485 51.51237183160773_ -0.177277161411485 51.51139756653465_ -0.175712424862442 51.51139756653465
1072, -0.175712424862442 51.51237183160773_ -0.175712424862442 51.513346096680806_ -0.177277161411485 51.513346096680806_ -0.177277161411485 51.51237183160773_ -0.175712424862442 51.51237183160773
1073, -0.175712424862442 51.513346096680806_ -0.175712424862442 51.51432036175389_ -0.177277161411485 51.51432036175389_ -0.177277161411485 51.513346096680806_ -0.175712424862442 51.513346096680806
1074, -0.175712424862442 51.51432036175389_ -0.175712424862442 51.515294626826964_ -0.177277161411485 51.515294626826964_ -0.177277161411485 51.51432036175389_ -0.175712424862442 51.51432036175389
1075, -0.175712424862442 51.515294626826964_ -0.175712424862442 51.51626889190004_ -0.177277161411485 51.51626889190004_ -0.177277161411485 51.515294626826964_ -0.175712424862442 51.515294626826964
1076, -0.175712424862442 51.51626889190004_ -0.175712424862442 51.51724315697312_ -0.177277161411485 51.51724315697312_ -0.177277161411485 51.51626889190004_ -0.175712424862442 51.51626889190004
1077, -0.175712424862442 51.51724315697312_ -0.175712424862442 51.5182174220462_ -0.177277161411485 51.5182174220462_ -0.177277161411485 51.51724315697312_ -0.175712424862442 51.51724315697312
1078, -0.175712424862442 51.5182174220462_ -0.175712424862442 51.51919168711928_ -0.177277161411485 51.51919168711928_ -0.177277161411485 51.5182174220462_ -0.175712424862442 51.5182174220462
1079, -0.175712424862442 51.51919168711928_ -0.175712424862442 51.52016595219236_ -0.177277161411485 51.52016595219236_ -0.177277161411485 51.51919168711928_ -0.175712424862442 51.51919168711928
1080, -0.177277161411485 51.46171004780764_ -0.177277161411485 51.46268431288072_ -0.1788418979605279 51.46268431288072_ -0.1788418979605279 51.46171004780764_ -0.177277161411485 51.46171004780764
1081, -0.177277161411485 51.46268431288072_ -0.177277161411485 51.4636585779538_ -0.1788418979605279 51.4636585779538_ -0.1788418979605279 51.46268431288072_ -0.177277161411485 51.46268431288072
1082, -0.177277161411485 51.4636585779538_ -0.177277161411485 51.46463284302688_ -0.1788418979605279 51.46463284302688_ -0.1788418979605279 51.4636585779538_ -0.177277161411485 51.4636585779538
1083, -0.177277161411485 51.46463284302688_ -0.177277161411485 51.46560710809996_ -0.1788418979605279 51.46560710809996_ -0.1788418979605279 51.46463284302688_ -0.177277161411485 51.46463284302688
1084, -0.177277161411485 51.46560710809996_ -0.177277161411485 51.466581373173035_ -0.1788418979605279 51.466581373173035_ -0.1788418979605279 51.46560710809996_ -0.177277161411485 51.46560710809996
1085, -0.177277161411485 51.466581373173035_ -0.177277161411485 51.46755563824611_ -0.1788418979605279 51.46755563824611_ -0.1788418979605279 51.466581373173035_ -0.177277161411485 51.466581373173035
1086, -0.177277161411485 51.46755563824611_ -0.177277161411485 51.468529903319194_ -0.1788418979605279 51.468529903319194_ -0.1788418979605279 51.46755563824611_ -0.177277161411485 51.46755563824611
1087, -0.177277161411485 51.468529903319194_ -0.177277161411485 51.46950416839227_ -0.1788418979605279 51.46950416839227_ -0.1788418979605279 51.468529903319194_ -0.177277161411485 51.468529903319194
1088, -0.177277161411485 51.46950416839227_ -0.177277161411485 51.47047843346535_ -0.1788418979605279 51.47047843346535_ -0.1788418979605279 51.46950416839227_ -0.177277161411485 51.46950416839227
1089, -0.177277161411485 51.47047843346535_ -0.177277161411485 51.47145269853843_ -0.1788418979605279 51.47145269853843_ -0.1788418979605279 51.47047843346535_ -0.177277161411485 51.47047843346535
1090, -0.177277161411485 51.47145269853843_ -0.177277161411485 51.472426963611504_ -0.1788418979605279 51.472426963611504_ -0.1788418979605279 51.47145269853843_ -0.177277161411485 51.47145269853843
1091, -0.177277161411485 51.472426963611504_ -0.177277161411485 51.47340122868459_ -0.1788418979605279 51.47340122868459_ -0.1788418979605279 51.472426963611504_ -0.177277161411485 51.472426963611504
1092, -0.177277161411485 51.47340122868459_ -0.177277161411485 51.47437549375766_ -0.1788418979605279 51.47437549375766_ -0.1788418979605279 51.47340122868459_ -0.177277161411485 51.47340122868459
1093, -0.177277161411485 51.47437549375766_ -0.177277161411485 51.475349758830745_ -0.1788418979605279 51.475349758830745_ -0.1788418979605279 51.47437549375766_ -0.177277161411485 51.47437549375766
1094, -0.177277161411485 51.475349758830745_ -0.177277161411485 51.47632402390382_ -0.1788418979605279 51.47632402390382_ -0.1788418979605279 51.475349758830745_ -0.177277161411485 51.475349758830745
1095, -0.177277161411485 51.47632402390382_ -0.177277161411485 51.4772982889769_ -0.1788418979605279 51.4772982889769_ -0.1788418979605279 51.47632402390382_ -0.177277161411485 51.47632402390382
1096, -0.177277161411485 51.4772982889769_ -0.177277161411485 51.47827255404998_ -0.1788418979605279 51.47827255404998_ -0.1788418979605279 51.4772982889769_ -0.177277161411485 51.4772982889769
1097, -0.177277161411485 51.47827255404998_ -0.177277161411485 51.479246819123055_ -0.1788418979605279 51.479246819123055_ -0.1788418979605279 51.47827255404998_ -0.177277161411485 51.47827255404998
1098, -0.177277161411485 51.479246819123055_ -0.177277161411485 51.48022108419614_ -0.1788418979605279 51.48022108419614_ -0.1788418979605279 51.479246819123055_ -0.177277161411485 51.479246819123055
1099, -0.177277161411485 51.48022108419614_ -0.177277161411485 51.481195349269214_ -0.1788418979605279 51.481195349269214_ -0.1788418979605279 51.48022108419614_ -0.177277161411485 51.48022108419614
1100, -0.177277161411485 51.481195349269214_ -0.177277161411485 51.48216961434229_ -0.1788418979605279 51.48216961434229_ -0.1788418979605279 51.481195349269214_ -0.177277161411485 51.481195349269214
1101, -0.177277161411485 51.48216961434229_ -0.177277161411485 51.48314387941537_ -0.1788418979605279 51.48314387941537_ -0.1788418979605279 51.48216961434229_ -0.177277161411485 51.48216961434229
1102, -0.177277161411485 51.48314387941537_ -0.177277161411485 51.48411814448845_ -0.1788418979605279 51.48411814448845_ -0.1788418979605279 51.48314387941537_ -0.177277161411485 51.48314387941537
1103, -0.177277161411485 51.48411814448845_ -0.177277161411485 51.48509240956153_ -0.1788418979605279 51.48509240956153_ -0.1788418979605279 51.48411814448845_ -0.177277161411485 51.48411814448845
1104, -0.177277161411485 51.48509240956153_ -0.177277161411485 51.48606667463461_ -0.1788418979605279 51.48606667463461_ -0.1788418979605279 51.48509240956153_ -0.177277161411485 51.48509240956153
1105, -0.177277161411485 51.48606667463461_ -0.177277161411485 51.48704093970768_ -0.1788418979605279 51.48704093970768_ -0.1788418979605279 51.48606667463461_ -0.177277161411485 51.48606667463461
1106, -0.177277161411485 51.48704093970768_ -0.177277161411485 51.488015204780766_ -0.1788418979605279 51.488015204780766_ -0.1788418979605279 51.48704093970768_ -0.177277161411485 51.48704093970768
1107, -0.177277161411485 51.488015204780766_ -0.177277161411485 51.48898946985384_ -0.1788418979605279 51.48898946985384_ -0.1788418979605279 51.488015204780766_ -0.177277161411485 51.488015204780766
1108, -0.177277161411485 51.48898946985384_ -0.177277161411485 51.489963734926924_ -0.1788418979605279 51.489963734926924_ -0.1788418979605279 51.48898946985384_ -0.177277161411485 51.48898946985384
1109, -0.177277161411485 51.489963734926924_ -0.177277161411485 51.490938_ -0.1788418979605279 51.490938_ -0.1788418979605279 51.489963734926924_ -0.177277161411485 51.489963734926924
1110, -0.177277161411485 51.490938_ -0.177277161411485 51.491912265073076_ -0.1788418979605279 51.491912265073076_ -0.1788418979605279 51.490938_ -0.177277161411485 51.490938
1111, -0.177277161411485 51.491912265073076_ -0.177277161411485 51.49288653014616_ -0.1788418979605279 51.49288653014616_ -0.1788418979605279 51.491912265073076_ -0.177277161411485 51.491912265073076
1112, -0.177277161411485 51.49288653014616_ -0.177277161411485 51.493860795219234_ -0.1788418979605279 51.493860795219234_ -0.1788418979605279 51.49288653014616_ -0.177277161411485 51.49288653014616
1113, -0.177277161411485 51.493860795219234_ -0.177277161411485 51.49483506029232_ -0.1788418979605279 51.49483506029232_ -0.1788418979605279 51.493860795219234_ -0.177277161411485 51.493860795219234
1114, -0.177277161411485 51.49483506029232_ -0.177277161411485 51.49580932536539_ -0.1788418979605279 51.49580932536539_ -0.1788418979605279 51.49483506029232_ -0.177277161411485 51.49483506029232
1115, -0.177277161411485 51.49580932536539_ -0.177277161411485 51.49678359043847_ -0.1788418979605279 51.49678359043847_ -0.1788418979605279 51.49580932536539_ -0.177277161411485 51.49580932536539
1116, -0.177277161411485 51.49678359043847_ -0.177277161411485 51.49775785551155_ -0.1788418979605279 51.49775785551155_ -0.1788418979605279 51.49678359043847_ -0.177277161411485 51.49678359043847
1117, -0.177277161411485 51.49775785551155_ -0.177277161411485 51.49873212058463_ -0.1788418979605279 51.49873212058463_ -0.1788418979605279 51.49775785551155_ -0.177277161411485 51.49775785551155
1118, -0.177277161411485 51.49873212058463_ -0.177277161411485 51.49970638565771_ -0.1788418979605279 51.49970638565771_ -0.1788418979605279 51.49873212058463_ -0.177277161411485 51.49873212058463
1119, -0.177277161411485 51.49970638565771_ -0.177277161411485 51.500680650730786_ -0.1788418979605279 51.500680650730786_ -0.1788418979605279 51.49970638565771_ -0.177277161411485 51.49970638565771
1120, -0.177277161411485 51.500680650730786_ -0.177277161411485 51.50165491580386_ -0.1788418979605279 51.50165491580386_ -0.1788418979605279 51.500680650730786_ -0.177277161411485 51.500680650730786
1121, -0.177277161411485 51.50165491580386_ -0.177277161411485 51.502629180876944_ -0.1788418979605279 51.502629180876944_ -0.1788418979605279 51.50165491580386_ -0.177277161411485 51.50165491580386
1122, -0.177277161411485 51.502629180876944_ -0.177277161411485 51.50360344595002_ -0.1788418979605279 51.50360344595002_ -0.1788418979605279 51.502629180876944_ -0.177277161411485 51.502629180876944
1123, -0.177277161411485 51.50360344595002_ -0.177277161411485 51.5045777110231_ -0.1788418979605279 51.5045777110231_ -0.1788418979605279 51.50360344595002_ -0.177277161411485 51.50360344595002
1124, -0.177277161411485 51.5045777110231_ -0.177277161411485 51.50555197609618_ -0.1788418979605279 51.50555197609618_ -0.1788418979605279 51.5045777110231_ -0.177277161411485 51.5045777110231
1125, -0.177277161411485 51.50555197609618_ -0.177277161411485 51.506526241169254_ -0.1788418979605279 51.506526241169254_ -0.1788418979605279 51.50555197609618_ -0.177277161411485 51.50555197609618
1126, -0.177277161411485 51.506526241169254_ -0.177277161411485 51.50750050624234_ -0.1788418979605279 51.50750050624234_ -0.1788418979605279 51.506526241169254_ -0.177277161411485 51.506526241169254
1127, -0.177277161411485 51.50750050624234_ -0.177277161411485 51.50847477131541_ -0.1788418979605279 51.50847477131541_ -0.1788418979605279 51.50750050624234_ -0.177277161411485 51.50750050624234
1128, -0.177277161411485 51.50847477131541_ -0.177277161411485 51.509449036388496_ -0.1788418979605279 51.509449036388496_ -0.1788418979605279 51.50847477131541_ -0.177277161411485 51.50847477131541
1129, -0.177277161411485 51.509449036388496_ -0.177277161411485 51.51042330146157_ -0.1788418979605279 51.51042330146157_ -0.1788418979605279 51.509449036388496_ -0.177277161411485 51.509449036388496
1130, -0.177277161411485 51.51042330146157_ -0.177277161411485 51.51139756653465_ -0.1788418979605279 51.51139756653465_ -0.1788418979605279 51.51042330146157_ -0.177277161411485 51.51042330146157
1131, -0.177277161411485 51.51139756653465_ -0.177277161411485 51.51237183160773_ -0.1788418979605279 51.51237183160773_ -0.1788418979605279 51.51139756653465_ -0.177277161411485 51.51139756653465
1132, -0.177277161411485 51.51237183160773_ -0.177277161411485 51.513346096680806_ -0.1788418979605279 51.513346096680806_ -0.1788418979605279 51.51237183160773_ -0.177277161411485 51.51237183160773
1133, -0.177277161411485 51.513346096680806_ -0.177277161411485 51.51432036175389_ -0.1788418979605279 51.51432036175389_ -0.1788418979605279 51.513346096680806_ -0.177277161411485 51.513346096680806
1134, -0.177277161411485 51.51432036175389_ -0.177277161411485 51.515294626826964_ -0.1788418979605279 51.515294626826964_ -0.1788418979605279 51.51432036175389_ -0.177277161411485 51.51432036175389
1135, -0.177277161411485 51.515294626826964_ -0.177277161411485 51.51626889190004_ -0.1788418979605279 51.51626889190004_ -0.1788418979605279 51.515294626826964_ -0.177277161411485 51.515294626826964
1136, -0.177277161411485 51.51626889190004_ -0.177277161411485 51.51724315697312_ -0.1788418979605279 51.51724315697312_ -0.1788418979605279 51.51626889190004_ -0.177277161411485 51.51626889190004
1137, -0.177277161411485 51.51724315697312_ -0.177277161411485 51.5182174220462_ -0.1788418979605279 51.5182174220462_ -0.1788418979605279 51.51724315697312_ -0.177277161411485 51.51724315697312
1138, -0.177277161411485 51.5182174220462_ -0.177277161411485 51.51919168711928_ -0.1788418979605279 51.51919168711928_ -0.1788418979605279 51.5182174220462_ -0.177277161411485 51.5182174220462
1139, -0.177277161411485 51.51919168711928_ -0.177277161411485 51.52016595219236_ -0.1788418979605279 51.52016595219236_ -0.1788418979605279 51.51919168711928_ -0.177277161411485 51.51919168711928
1140, -0.1788418979605279 51.46171004780764_ -0.1788418979605279 51.46268431288072_ -0.1804066345095708 51.46268431288072_ -0.1804066345095708 51.46171004780764_ -0.1788418979605279 51.46171004780764
1141, -0.1788418979605279 51.46268431288072_ -0.1788418979605279 51.4636585779538_ -0.1804066345095708 51.4636585779538_ -0.1804066345095708 51.46268431288072_ -0.1788418979605279 51.46268431288072
1142, -0.1788418979605279 51.4636585779538_ -0.1788418979605279 51.46463284302688_ -0.1804066345095708 51.46463284302688_ -0.1804066345095708 51.4636585779538_ -0.1788418979605279 51.4636585779538
1143, -0.1788418979605279 51.46463284302688_ -0.1788418979605279 51.46560710809996_ -0.1804066345095708 51.46560710809996_ -0.1804066345095708 51.46463284302688_ -0.1788418979605279 51.46463284302688
1144, -0.1788418979605279 51.46560710809996_ -0.1788418979605279 51.466581373173035_ -0.1804066345095708 51.466581373173035_ -0.1804066345095708 51.46560710809996_ -0.1788418979605279 51.46560710809996
1145, -0.1788418979605279 51.466581373173035_ -0.1788418979605279 51.46755563824611_ -0.1804066345095708 51.46755563824611_ -0.1804066345095708 51.466581373173035_ -0.1788418979605279 51.466581373173035
1146, -0.1788418979605279 51.46755563824611_ -0.1788418979605279 51.468529903319194_ -0.1804066345095708 51.468529903319194_ -0.1804066345095708 51.46755563824611_ -0.1788418979605279 51.46755563824611
1147, -0.1788418979605279 51.468529903319194_ -0.1788418979605279 51.46950416839227_ -0.1804066345095708 51.46950416839227_ -0.1804066345095708 51.468529903319194_ -0.1788418979605279 51.468529903319194
