code,geometry
52, -0.1491119035287124 51.51237183160773_ -0.1491119035287124 51.513346096680806_ -0.1506766400777553 51.513346096680806_ -0.1506766400777553 51.51237183160773_ -0.1491119035287124 51.51237183160773
53, -0.1491119035287124 51.513346096680806_ -0.1491119035287124 51.51432036175389_ -0.1506766400777553 51.51432036175389_ -0.1506766400777553 51.513346096680806_ -0.1491119035287124 51.513346096680806
54, -0.1491119035287124 51.51432036175389_ -0.1491119035287124 51.515294626826964_ -0.1506766400777553 51.515294626826964_ -0.1506766400777553 51.51432036175389_ -0.1491119035287124 51.51432036175389
55, -0.1491119035287124 51.515294626826964_ -0.1491119035287124 51.51626889190004_ -0.1506766400777553 51.51626889190004_ -0.1506766400777553 51.515294626826964_ -0.1491119035287124 51.515294626826964
56, -0.1491119035287124 51.51626889190004_ -0.1491119035287124 51.51724315697312_ -0.1506766400777553 51.51724315697312_ -0.1506766400777553 51.51626889190004_ -0.1491119035287124 51.51626889190004
57, -0.1491119035287124 51.51724315697312_ -0.1491119035287124 51.5182174220462_ -0.1506766400777553 51.5182174220462_ -0.1506766400777553 51.51724315697312_ -0.1491119035287124 51.51724315697312
58, -0.1491119035287124 51.5182174220462_ -0.1491119035287124 51.51919168711928_ -0.1506766400777553 51.51919168711928_ -0.1506766400777553 51.5182174220462_ -0.1491119035287124 51.5182174220462
59, -0.1491119035287124 51.51919168711928_ -0.1491119035287124 51.52016595219236_ -0.1506766400777553 51.52016595219236_ -0.1506766400777553 51.51919168711928_ -0.1491119035287124 51.51919168711928
60, -0.1506766400777553 51.46171004780764_ -0.1506766400777553 51.46268431288072_ -0.1522413766267982 51.46268431288072_ -0.1522413766267982 51.46171004780764_ -0.1506766400777553 51.46171004780764
61, -0.1506766400777553 51.46268431288072_ -0.1506766400777553 51.4636585779538_ -0.1522413766267982 51.4636585779538_ -0.1522413766267982 51.46268431288072_ -0.1506766400777553 51.46268431288072
62, -0.1506766400777553 51.4636585779538_ -0.1506766400777553 51.46463284302688_ -0.1522413766267982 51.46463284302688_ -0.1522413766267982 51.4636585779538_ -0.1506766400777553 51.4636585779538
63, -0.1506766400777553 51.46463284302688_ -0.1506766400777553 51.46560710809996_ -0.1522413766267982 51.46560710809996_ -0.1522413766267982 51.46463284302688_ -0.1506766400777553 51.46463284302688
64, -0.1506766400777553 51.46560710809996_ -0.1506766400777553 51.466581373173035_ -0.1522413766267982 51.466581373173035_ -0.1522413766267982 51.46560710809996_ -0.1506766400777553 51.46560710809996
65, -0.1506766400777553 51.466581373173035_ -0.1506766400777553 51.46755563824611_ -0.1522413766267982 51.46755563824611_ -0.1522413766267982 51.466581373173035_ -0.1506766400777553 51.466581373173035
66, -0.1506766400777553 51.46755563824611_ -0.1506766400777553 51.468529903319194_ -0.1522413766267982 51.468529903319194_ -0.1522413766267982 51.46755563824611_ -0.1506766400777553 51.46755563824611
67, -0.1506766400777553 51.468529903319194_ -0.1506766400777553 51.46950416839227_ -0.1522413766267982 51.46950416839227_ -0.1522413766267982 51.468529903319194_ -0.1506766400777553 51.468529903319194
68, -0.1506766400777553 51.46950416839227_ -0.1506766400777553 51.47047843346535_ -0.1522413766267982 51.47047843346535_ -0.1522413766267982 51.46950416839227_ -0.1506766400777553 51.46950416839227
69, -0.1506766400777553 51.47047843346535_ -0.1506766400777553 51.47145269853843_ -0.1522413766267982 51.47145269853843_ -0.1522413766267982 51.47047843346535_ -0.1506766400777553 51.47047843346535
70, -0.1506766400777553 51.47145269853843_ -0.1506766400777553 51.472426963611504_ -0.1522413766267982 51.472426963611504_ -0.1522413766267982 51.47145269853843_ -0.1506766400777553 51.47145269853843
71, -0.1506766400777553 51.472426963611504_ -0.1506766400777553 51.47340122868459_ -0.1522413766267982 51.47340122868459_ -0.1522413766267982 51.472426963611504_ -0.1506766400777553 51.472426963611504
72, -0.1506766400777553 51.47340122868459_ -0.1506766400777553 51.47437549375766_ -0.1522413766267982 51.47437549375766_ -0.1522413766267982 51.47340122868459_ -0.1506766400777553 51.47340122868459
73, -0.1506766400777553 51.47437549375766_ -0.1506766400777553 51.475349758830745_ -0.1522413766267982 51.475349758830745_ -0.1522413766267982 51.47437549375766_ -0.1506766400777553 51.47437549375766
74, -0.1506766400777553 51.475349758830745_ -0.1506766400777553 51.47632402390382_ -0.1522413766267982 51.47632402390382_ -0.1522413766267982 51.475349758830745_ -0.1506766400777553 51.475349758830745
