code,predicted_pm2.5,geometry
18,3.7832549, -0.1248624678804757 51.49455737437929_ -0.1248624678804757 51.49613118718965_ -0.1273904944864519 51.49613118718965_ -0.1273904944864519 51.49455737437929_ -0.1248624678804757 51.49455737437929
19,3.85627, -0.1248624678804757 51.49613118718965_ -0.1248624678804757 51.497705_ -0.1273904944864519 51.497705_ -0.1273904944864519 51.49613118718965_ -0.1248624678804757 51.49613118718965
20,3.863209, -0.1248624678804757 51.497705_ -0.1248624678804757 51.49927881281036_ -0.1273904944864519 51.49927881281036_ -0.1273904944864519 51.497705_ -0.1248624678804757 51.497705
21,3.882552, -0.1248624678804757 51.49927881281036_ -0.1248624678804757 51.500852625620716_ -0.1273904944864519 51.500852625620716_ -0.1273904944864519 51.49927881281036_ -0.1248624678804757 51.49927881281036
22,3.8579464, -0.1248624678804757 51.500852625620716_ -0.1248624678804757 51.50242643843108_ -0.1273904944864519 51.50242643843108_ -0.1273904944864519 51.500852625620716_ -0.1248624678804757 51.500852625620716
23,3.87671, -0.1248624678804757 51.50242643843108_ -0.1248624678804757 51.504000251241436_ -0.1273904944864519 51.504000251241436_ -0.1273904944864519 51.50242643843108_ -0.1248624678804757 51.50242643843108
24,3.8720043, -0.1248624678804757 51.504000251241436_ -0.1248624678804757 51.50557406405179_ -0.1273904944864519 51.50557406405179_ -0.1273904944864519 51.504000251241436_ -0.1248624678804757 51.504000251241436
25,3.8732755, -0.1248624678804757 51.50557406405179_ -0.1248624678804757 51.50714787686215_ -0.1273904944864519 51.50714787686215_ -0.1273904944864519 51.50557406405179_ -0.1248624678804757 51.50557406405179
26,3.8846824, -0.1248624678804757 51.50714787686215_ -0.1248624678804757 51.508721689672505_ -0.1273904944864519 51.508721689672505_ -0.1273904944864519 51.50714787686215_ -0.1248624678804757 51.50714787686215
27,3.8581135, -0.1248624678804757 51.508721689672505_ -0.1248624678804757 51.51029550248287_ -0.1273904944864519 51.51029550248287_ -0.1273904944864519 51.508721689672505_ -0.1248624678804757 51.508721689672505
28,3.8434894, -0.1248624678804757 51.51029550248287_ -0.1248624678804757 51.511869315293225_ -0.1273904944864519 51.511869315293225_ -0.1273904944864519 51.51029550248287_ -0.1248624678804757 51.51029550248287
29,3.8222144, -0.1248624678804757 51.511869315293225_ -0.1248624678804757 51.51344312810358_ -0.1273904944864519 51.51344312810358_ -0.1273904944864519 51.511869315293225_ -0.1248624678804757 51.511869315293225
30,3.8260872, -0.1248624678804757 51.51344312810358_ -0.1248624678804757 51.51501694091394_ -0.1273904944864519 51.51501694091394_ -0.1273904944864519 51.51344312810358_ -0.1248624678804757 51.51344312810358
