id,latitude,longitude,code
0_,-0.1517856000000003,51.51997409999999,109
1_,-0.15176870000000167,51.51984969999998,109
2_,-0.15101780000219847,51.52000790000464,109
10543_,-0.15096470000000045,51.5194299,109
10542_,-0.15091980000000046,51.51910939999999,109
10547_,-0.15257406843590526,51.51978113539106,164
9220_,-0.15368550000000097,51.519687399999995,164
9221_,-0.1541150000000012,51.5201605,164
9222_,-0.1537908000000002,51.520121499999995,164
10615_,-0.15343549999999925,51.519750099999996,164
10613_,-0.1530574500053117,51.51977285001886,164
4_,-0.1516331000000004,51.51873809999999,108
3_,-0.1516139999999998,51.5186021,108
5_,-0.15156609999999987,51.518381099999985,108
6_,-0.1508648999999991,51.518717299999985,108
10462_,-0.15154579880501035,51.518166254003454,108
10544_,-0.1517270000000001,51.51829979999999,108
9004_,-0.15210501868595225,51.518046597815975,108
208_,-0.15090199998133344,51.518067350014356,108
10620_,-0.15082990000000027,51.51834449999999,108
10616_,-0.15232730000000014,51.51883449999998,108
8640_,-0.1506112999999996,51.52006839999999,54
3153_,-0.14980600000000044,51.51929319999999,54
9000_,-0.14995110000000111,51.519598099999996,54
10622_,-0.14953150000000004,51.51946049999999,54
10548_,-0.15022440000000029,51.520137000000005,54
10546_,-0.1505489000000008,51.519876299999986,54
8998_,-0.14965850000000047,51.5197964,54
8999_,-0.15012394999878284,51.51993410000013,54
10545_,-0.15043300000000037,51.519517699999994,54
10614_,-0.1526942999901762,51.518856600000646,163
195_,-0.15388079999999904,51.51844479999999,163
198_,-0.15286870000000088,51.5183959,163
10611_,-0.15321660000000026,51.51815869999999,163
10612_,-0.15294150000000042,51.51883560000001,163
3155_,-0.14989890000000058,51.518865899999994,53
10619_,-0.15007650000000133,51.51820699999998,53
3152_,-0.14962510000000023,51.51891309999999,53
3154_,-0.14928830000000126,51.51896929999998,53
9908_,-0.15024230000000005,51.51829339999998,53
9909_,-0.1503032999999991,51.5184246,53
9910_,-0.15034340000000126,51.518519100000006,53
10621_,-0.1505269999999979,51.5183913,53
7_,-0.15216680183679382,51.516809300997366,106
8_,-0.15251279999732922,51.51643685000025,106
10603_,-0.15130010000000166,51.516925599999986,106
10550_,-0.15232249999999953,51.516070299999996,106
3989_,-0.15101630000000074,51.515985299999976,106
9005_,-0.15086510000000117,51.51659989999999,106
10551_,-0.15160595001429764,51.51622170001508,106
13037_,-0.15169579999999952,51.51644290000001,106
9_,-0.15243570000000115,51.51705879999998,107
11_,-0.15248680000000067,51.51716449999999,107
12_,-0.1522806000000003,51.51794829999999,107
9002_,-0.15205360000000162,51.517465299999984,107
205_,-0.1514511000000016,51.517673699999996,107
10461_,-0.15149849999999992,51.51794619999998,107
9001_,-0.15184020000000173,51.517212599999986,107
9003_,-0.1518803000000003,51.517501699999976,107
10460_,-0.1516718999999995,51.518022499999994,107
10711_,-0.1522691000000017,51.51803859999999,107
10552_,-0.15323535000407157,51.51663685000474,161
3915_,-0.15413720001155257,51.51647735001338,161
3919_,-0.1539169500056425,51.516019150006784,161
3918_,-0.15262319999999946,51.5160288,161
9332_,-0.15388180000000062,51.516976199999995,161
10086_,-0.1530727000170299,51.51695565001949,161
10084_,-0.1526146000000006,51.517036,162
10_,-0.15281790000000167,51.51784949999999,162
13_,-0.15356000000000053,51.517755199999996,162
10085_,-0.1526604000000003,51.51713169999999,162
9329_,-0.15345280000000078,51.51754809999999,162
196_,-0.15374751279184745,51.518030611898176,162
9340_,-0.1533371000000016,51.51732469999998,162
10087_,-0.15311880001760006,51.517045400019555,162
3826_,-0.15473470000000175,51.51755149999999,217
14_,-0.15540560000000048,51.517435199999994,217
15_,-0.15520060000000174,51.516983399999994,217
17_,-0.15496230000000102,51.51751209999998,217
9330_,-0.15475900000000076,51.517064299999994,217
9328_,-0.1548554499912059,51.517278650000755,217
9339_,-0.1542693999999988,51.517349999999986,217
9331_,-0.15452850000000018,51.517106699999985,217
16_,-0.15573030000000188,51.5181245,218
201_,-0.15505359999999976,51.518236099999996,218
197_,-0.15455540000000134,51.51832039999999,218
18_,-0.1575332000000007,51.51708079999998,272
3929_,-0.15710070000000134,51.517890599999994,272
9326_,-0.15684790000000093,51.51698389999999,272
9337_,-0.15586750000000058,51.516853499999996,216
3912_,-0.15490279999999995,51.516341999999995,216
3913_,-0.1559215999842527,51.5161197000014,216
9333_,-0.15437260000000103,51.516892599999984,216
9338_,-0.15555500000000058,51.51650119999999,216
19_,-0.15633530000000107,51.519449299999984,274
20_,-0.15688829999999981,51.519353599999995,274
7897_,-0.15738310000000133,51.51926969999999,274
22_,-0.15783900000000115,51.517767199999994,327
24_,-0.15815740000163475,51.516984550002235,327
23_,-0.1572997000000006,51.516584599999995,271
9325_,-0.15672120000000042,51.51669439999999,271
9334_,-0.15723049999999963,51.516430599999985,271
9336_,-0.15700609999999995,51.515965099999995,271
9327_,-0.15602499998214192,51.516775500001465,271
9335_,-0.1574203000000014,51.5163982,271
21_,-0.15570009999999926,51.51954659999999,219
200_,-0.15521300000000005,51.519627799999995,219
199_,-0.15458800000000048,51.519729599999984,219
202_,-0.1548883999999997,51.519680399999984,219
203_,-0.15469180000000135,51.519948299999996,219
8047_,-0.15484100000000017,51.519960899999994,219
8045_,-0.1545188000000015,51.519978999999985,219
8046_,-0.15486359999999913,51.5201392,219
9219_,-0.15433879999999944,51.51999409999999,219
26_,-0.15843590000000068,51.51909229999999,328
812_,-0.15901190000000012,51.5189913,328
3857_,-0.1592157,51.51895689999999,328
9237_,-0.1580098999821328,51.51670895000151,326
32_,-0.15858759999999986,51.51690889999999,326
29_,-0.15901890000000116,51.516830899999995,326
10573_,-0.1593013999999998,51.51637999999999,326
10580_,-0.15909140000000038,51.5160073,326
11955_,-0.15857040000000094,51.5167459,326
25_,-0.15880649999999963,51.5199153,329
28_,-0.15813720000898102,51.52003140001013,329
811_,-0.15776685000462448,51.51920520000543,329
9040_,-0.1577519000000008,51.520100799999994,329
27_,-0.15957990000000052,51.51978339999999,384
7898_,-0.15970409999882068,51.52007095000009,384
808_,-0.16028260000000125,51.5196644,384
807_,-0.1600588000000006,51.51914609999999,384
809_,-0.1601492000000012,51.51934869999999,384
7899_,-0.1603327000000004,51.519314499999986,384
9042_,-0.15997045000189136,51.52000285000015,384
11229_,-0.1594820000000001,51.520123899999994,384
9041_,-0.16000869999999986,51.52011579999999,384
30_,-0.15992480000000076,51.51883569999998,383
805_,-0.15954560000000134,51.51889969999998,383
806_,-0.16040680000000143,51.51875449999999,383
10578_,-0.16103880000000043,51.518977899999996,383
31_,-0.1584912000008808,51.51572170000126,325
47_,-0.15827219999999978,51.5152853,325
7875_,-0.15777269999999988,51.515839299999996,325
8379_,-0.15873730000000066,51.51520179999999,325
7877_,-0.15803500000000087,51.51551749999999,325
8380_,-0.1586377000000002,51.514991499999994,325
8381_,-0.15883760000000038,51.51542509999999,325
33_,-0.15947420000000034,51.51674959999998,381
10576_,-0.1601540000000002,51.51663999999999,381
8068_,-0.16074909999054487,51.51592875000073,381
3925_,-0.16075760000000128,51.51653819999999,381
10575_,-0.16044739999999919,51.516588999999996,381
8069_,-0.16089530000000116,51.51628739999999,381
10572_,-0.15971169999999876,51.5160889,381
10574_,-0.15984470000000026,51.51628569999999,381
35_,-0.15995840000000025,51.51549979999999,380
8063_,-0.15983359999999985,51.515238399999994,380
8378_,-0.16011370000000158,51.51583889999999,380
8065_,-0.16064230000000188,51.5148781,380
8064_,-0.1597269000000013,51.51499799999999,380
8067_,-0.16073074999256012,51.5150913000006,380
8376_,-0.1604956000000002,51.51509829999999,380
11026_,-0.16010540000000142,51.5148796,380
10577_,-0.1599001000000016,51.51768699999998,382
7878_,-0.15999410000000075,51.517891,382
34_,-0.16133150000000052,51.515265999999976,435
36_,-0.16203830000000183,51.515145799999985,435
37_,-0.1614753000000013,51.5156141,435
41_,-0.1615623000000006,51.51583129999999,435
38_,-0.1611229999999995,51.5147971,434
813_,-0.16151307885165941,51.51414165471922,434
5429_,-0.16114979997531334,51.51396550000729,434
814_,-0.1625182000000011,51.51477939999999,434
8377_,-0.16293932508506834,51.515066652429894,490
3927_,-0.16310799999999975,51.5152403,490
7891_,-0.1632567000000006,51.515837999999995,490
7892_,-0.1641403999999998,51.5158782,490
11047_,-0.16327970000000128,51.51529929999999,490
5426_,-0.16417460000000034,51.5150701,490
5428_,-0.16361555000783093,51.51486710000888,490
5798_,-0.1643935499757147,51.51522010000656,490
5803_,-0.16385370000000038,51.51501019999999,490
