code,predicted_pm2.5,geometry
23,5, -0.1494204406242446 51.48511449751714_ -0.1494204406242446 51.48691314072898_ -0.1523096138882174 51.48691314072898_ -0.1523096138882174 51.48511449751714_ -0.1494204406242446 51.48511449751714
24,5, -0.1494204406242446 51.48691314072898_ -0.1494204406242446 51.488711783940815_ -0.1523096138882174 51.488711783940815_ -0.1523096138882174 51.48691314072898_ -0.1494204406242446 51.48691314072898
25,5, -0.1494204406242446 51.488711783940815_ -0.1494204406242446 51.49051042715265_ -0.1523096138882174 51.49051042715265_ -0.1523096138882174 51.488711783940815_ -0.1494204406242446 51.488711783940815
26,5, -0.1494204406242446 51.49051042715265_ -0.1494204406242446 51.49230907036449_ -0.1523096138882174 51.49230907036449_ -0.1523096138882174 51.49051042715265_ -0.1494204406242446 51.49051042715265
27,5, -0.1494204406242446 51.49230907036449_ -0.1494204406242446 51.49410771357633_ -0.1523096138882174 51.49410771357633_ -0.1523096138882174 51.49230907036449_ -0.1494204406242446 51.49230907036449
28,5, -0.1494204406242446 51.49410771357633_ -0.1494204406242446 51.49590635678817_ -0.1523096138882174 51.49590635678817_ -0.1523096138882174 51.49410771357633_ -0.1494204406242446 51.49410771357633
29,5, -0.1494204406242446 51.49590635678817_ -0.1494204406242446 51.497705_ -0.1523096138882174 51.497705_ -0.1523096138882174 51.49590635678817_ -0.1494204406242446 51.49590635678817
30,5, -0.1494204406242446 51.497705_ -0.1494204406242446 51.49950364321184_ -0.1523096138882174 51.49950364321184_ -0.1523096138882174 51.497705_ -0.1494204406242446 51.497705
31,5, -0.1494204406242446 51.49950364321184_ -0.1494204406242446 51.50130228642368_ -0.1523096138882174 51.50130228642368_ -0.1523096138882174 51.49950364321184_ -0.1494204406242446 51.49950364321184
32,5, -0.1494204406242446 51.50130228642368_ -0.1494204406242446 51.503100929635515_ -0.1523096138882174 51.503100929635515_ -0.1523096138882174 51.50130228642368_ -0.1494204406242446 51.50130228642368
33,5, -0.1494204406242446 51.503100929635515_ -0.1494204406242446 51.50489957284736_ -0.1523096138882174 51.50489957284736_ -0.1523096138882174 51.503100929635515_ -0.1494204406242446 51.503100929635515
34,5, -0.1494204406242446 51.50489957284736_ -0.1494204406242446 51.50669821605919_ -0.1523096138882174 51.50669821605919_ -0.1523096138882174 51.50489957284736_ -0.1494204406242446 51.50489957284736
35,5, -0.1494204406242446 51.50669821605919_ -0.1494204406242446 51.50849685927103_ -0.1523096138882174 51.50849685927103_ -0.1523096138882174 51.50669821605919_ -0.1494204406242446 51.50669821605919
36,5, -0.1494204406242446 51.50849685927103_ -0.1494204406242446 51.51029550248287_ -0.1523096138882174 51.51029550248287_ -0.1523096138882174 51.50849685927103_ -0.1494204406242446 51.50849685927103
