code,predicted_pm2.5,geometry
66,5.407503, -0.1273904944864519 51.50714787686215_ -0.1273904944864519 51.508721689672505_ -0.1299185210924281 51.508721689672505_ -0.1299185210924281 51.50714787686215_ -0.1273904944864519 51.50714787686215
67,5.379076, -0.1273904944864519 51.508721689672505_ -0.1273904944864519 51.51029550248287_ -0.1299185210924281 51.51029550248287_ -0.1299185210924281 51.508721689672505_ -0.1273904944864519 51.508721689672505
68,5.383348, -0.1273904944864519 51.51029550248287_ -0.1273904944864519 51.511869315293225_ -0.1299185210924281 51.511869315293225_ -0.1299185210924281 51.51029550248287_ -0.1273904944864519 51.51029550248287
69,5.2536206, -0.1273904944864519 51.511869315293225_ -0.1273904944864519 51.51344312810358_ -0.1299185210924281 51.51344312810358_ -0.1299185210924281 51.511869315293225_ -0.1273904944864519 51.511869315293225
70,5.2437267, -0.1273904944864519 51.51344312810358_ -0.1273904944864519 51.51501694091394_ -0.1299185210924281 51.51501694091394_ -0.1299185210924281 51.51344312810358_ -0.1273904944864519 51.51344312810358
71,5.284739, -0.1273904944864519 51.51501694091394_ -0.1273904944864519 51.516590753724294_ -0.1299185210924281 51.516590753724294_ -0.1299185210924281 51.51501694091394_ -0.1273904944864519 51.51501694091394
72,5.311633, -0.1273904944864519 51.516590753724294_ -0.1273904944864519 51.51816456653466_ -0.1299185210924281 51.51816456653466_ -0.1299185210924281 51.516590753724294_ -0.1273904944864519 51.516590753724294
73,5.346862, -0.1273904944864519 51.51816456653466_ -0.1273904944864519 51.519738379345014_ -0.1299185210924281 51.519738379345014_ -0.1299185210924281 51.51816456653466_ -0.1273904944864519 51.51816456653466
74,5.3736987, -0.1273904944864519 51.519738379345014_ -0.1273904944864519 51.52131219215537_ -0.1299185210924281 51.52131219215537_ -0.1299185210924281 51.519738379345014_ -0.1273904944864519 51.519738379345014
75,5.3465695, -0.1273904944864519 51.52131219215537_ -0.1273904944864519 51.52288600496573_ -0.1299185210924281 51.52288600496573_ -0.1299185210924281 51.52131219215537_ -0.1273904944864519 51.52131219215537
76,5.3549333, -0.1273904944864519 51.52288600496573_ -0.1273904944864519 51.52445981777608_ -0.1299185210924281 51.52445981777608_ -0.1299185210924281 51.52288600496573_ -0.1273904944864519 51.52288600496573
77,5.321217, -0.1273904944864519 51.52445981777608_ -0.1273904944864519 51.52603363058645_ -0.1299185210924281 51.52603363058645_ -0.1299185210924281 51.52445981777608_ -0.1273904944864519 51.52445981777608
78,5.2437825, -0.1273904944864519 51.52603363058645_ -0.1273904944864519 51.5276074433968_ -0.1299185210924281 51.5276074433968_ -0.1299185210924281 51.52603363058645_ -0.1273904944864519 51.52603363058645
79,5.2049794, -0.1273904944864519 51.5276074433968_ -0.1273904944864519 51.52918125620716_ -0.1299185210924281 51.52918125620716_ -0.1299185210924281 51.5276074433968_ -0.1273904944864519 51.5276074433968
80,5.690875, -0.1299185210924281 51.46622874379285_ -0.1299185210924281 51.4678025566032_ -0.1324465476984043 51.4678025566032_ -0.1324465476984043 51.46622874379285_ -0.1299185210924281 51.46622874379285
81,5.6851377, -0.1299185210924281 51.4678025566032_ -0.1299185210924281 51.46937636941356_ -0.1324465476984043 51.46937636941356_ -0.1324465476984043 51.4678025566032_ -0.1299185210924281 51.4678025566032
82,5.8352475, -0.1299185210924281 51.46937636941356_ -0.1299185210924281 51.47095018222392_ -0.1324465476984043 51.47095018222392_ -0.1324465476984043 51.46937636941356_ -0.1299185210924281 51.46937636941356
83,5.81942, -0.1299185210924281 51.47095018222392_ -0.1299185210924281 51.47252399503428_ -0.1324465476984043 51.47252399503428_ -0.1324465476984043 51.47095018222392_ -0.1299185210924281 51.47095018222392
84,5.8544374, -0.1299185210924281 51.47252399503428_ -0.1299185210924281 51.474097807844636_ -0.1324465476984043 51.474097807844636_ -0.1324465476984043 51.47252399503428_ -0.1299185210924281 51.47252399503428
85,5.7903523, -0.1299185210924281 51.474097807844636_ -0.1299185210924281 51.47567162065499_ -0.1324465476984043 51.47567162065499_ -0.1324465476984043 51.474097807844636_ -0.1299185210924281 51.474097807844636
