id,latitude,longitude,code
5247_,-0.18334800000000087,51.515948999999985,951
8809_,-0.18308170000000037,51.51636849999999,951
8808_,-0.18490480000000042,51.51575399999999,951
8805_,-0.1845377000000014,51.51636349999998,951
9922_,-0.18457080000000012,51.518256599999994,953
5255_,-0.18307849999999995,51.51821139999999,953
5275_,-0.18503890000000053,51.51971679999998,953
12262_,-0.18452760000000176,51.519710099999976,953
11547_,-0.18493899999999974,51.51840529999998,953
11548_,-0.18435570000000095,51.51822899999999,953
9927_,-0.1837525999999995,51.51819759999999,953
5256_,-0.1790451000000002,51.51878169999999,873
5257_,-0.17888899999999977,51.51887309999999,873
5258_,-0.17952350000000114,51.51902399999999,873
5260_,-0.17828705001403403,51.51921050000515,873
9917_,-0.17952439999168013,51.519189950001845,873
5261_,-0.1780443000000017,51.51941189999999,873
12363_,-0.17801580000000036,51.51963690000001,873
9932_,-0.1783058499987943,51.518445000000405,873
9309_,-0.17810710000000188,51.51862389999999,873
9920_,-0.18022920000000062,51.51962699999999,873
9928_,-0.17966100000000093,51.519279499999996,873
9918_,-0.18051108816829306,51.51925280871795,913
9919_,-0.18235660000000034,51.519270999999996,913
10377_,-0.18271410000000093,51.519274499999995,913
9926_,-0.18211540000000073,51.518286899999985,913
5262_,-0.1777645000000011,51.51940789999998,833
8868_,-0.17700196114049394,51.51831450613828,833
12202_,-0.177552700000001,51.519542699999995,833
9875_,-0.17757109999999998,51.51941289999999,833
7366_,-0.17574760000000017,51.518776999999986,833
11578_,-0.17564425375616152,51.5182200416114,833
9886_,-0.17704720000000085,51.51958679999999,833
10235_,-0.18828560000000097,51.52190809999998,1035
10237_,-0.18831750000000122,51.521547899999995,1035
10234_,-0.1902242000000009,51.52159009999999,1035
10082_,-0.18853710001356613,51.521919500001374,1035
10223_,-0.18885810000000006,51.522247199999995,1035
10224_,-0.18887790001669388,51.52183645001423,1035
10238_,-0.1885676000000008,51.521541299999996,1035
10882_,-0.18821680000000213,51.52277689999998,1035
10698_,-0.18899340000000103,51.5216703,1035
10236_,-0.18831020000000107,51.52167,1035
10696_,-0.18874460000000134,51.5215288,1035
10697_,-0.18898820000000066,51.521511499999995,1035
8811_,-0.19258760000000108,51.5181671,1073
9930_,-0.192346200000001,51.519012799999985,1073
7883_,-0.20421060000000063,51.511057999999984,1268
5310_,-0.20517950000000004,51.51076219999999,1268
5311_,-0.2053592000178288,51.510913700014214,1268
5312_,-0.20511842439356145,51.510568297707835,1268
5313_,-0.20458690000000113,51.510941399999986,1268
13567_,-0.20542330000000064,51.511097799999995,1268
12492_,-0.20538475002354065,51.51075275001626,1268
13566_,-0.20487570000000155,51.510346699999985,1268
12490_,-0.20573019999693248,51.51039320000037,1268
12493_,-0.20568023027843252,51.51088868226136,1268
13385_,-0.20558770000000043,51.511323,1268
5315_,-0.20817349999999993,51.511117500000005,1308
6931_,-0.20743879999999987,51.51132189999999,1308
10315_,-0.20613310000000107,51.51084909999999,1308
13565_,-0.20637980000000059,51.5104395,1308
13570_,-0.20697360000000115,51.510397499999996,1308
12491_,-0.20595949998493712,51.51082905000215,1308
13384_,-0.20577150000000072,51.51157549999999,1308
13568_,-0.2062466000000002,51.511187400000004,1308
6932_,-0.20743700000000118,51.51010829999999,1307
5316_,-0.20662120000000106,51.50895319999998,1307
5318_,-0.20679739999999971,51.50897659999999,1307
5319_,-0.20651269999999983,51.50905279999999,1307
8733_,-0.20670299997480446,51.50907715000341,1307
8732_,-0.20689510000000086,51.51027809999998,1307
7882_,-0.2081887999999999,51.5098901,1307
13571_,-0.20827460000000114,51.509999499999985,1307
5332_,-0.20270780000000072,51.50661569999999,1225
5333_,-0.20193990000000012,51.50683879999999,1225
5335_,-0.2007208999999995,51.50651589999999,1225
7847_,-0.20134180000000013,51.507012499999995,1225
7881_,-0.20890080000000036,51.509683499999994,1347
5346_,-0.210272200000001,51.50998819999999,1347
5347_,-0.21045090000000077,51.509252599999996,1347
8313_,-0.21049590000000098,51.510284599999984,1347
5349_,-0.21066190000000057,51.509017499999985,1347
8312_,-0.21137370000000175,51.50993209999999,1387
8311_,-0.2110907408962336,51.50890542316217,1387
9663_,-0.21211619999999995,51.50979189999999,1387
8345_,-0.21327710000000039,51.50911879999999,1387
9667_,-0.21302379999999999,51.50916619999999,1387
9664_,-0.21294950000000168,51.509639299999996,1387
9665_,-0.21230739999999987,51.509300199999984,1387
9666_,-0.21273549999999958,51.50922009999999,1387
9701_,-0.2126579000000014,51.50994859999999,1387
9705_,-0.21321850000000142,51.509834499999975,1387
9706_,-0.21329350000000058,51.510062599999976,1387
5361_,-0.19721900000000098,51.5067513,1145
5362_,-0.19702400000000123,51.506433699999995,1145
5422_,-0.18830320000000003,51.493697499999996,1017
6314_,-0.18861960000000128,51.49435589999999,1017
6041_,-0.19028989999999996,51.49340329999998,1017
6316_,-0.19046470000000046,51.49357469999998,1017
7600_,-0.19058400000000214,51.49368209999999,1017
11039_,-0.18974760000000027,51.49451659999998,1017
5446_,-0.18317430000000057,51.488321899999995,934
5448_,-0.18499400000000016,51.48736619999999,933
6021_,-0.1834539000000003,51.48727989999999,933
5471_,-0.17220350000000087,51.48962959999998,734
11273_,-0.17208195001096915,51.489507300006494,734
6298_,-0.17039845002077433,51.4886243500112,734
12295_,-0.17053990000000133,51.48851429999999,734
6303_,-0.17257320001330076,51.48880045000836,734
