code,predicted_pm2.5,geometry
24,5.7968593, -0.1491119035287124 51.48509240956153_ -0.1491119035287124 51.48606667463461_ -0.1506766400777553 51.48606667463461_ -0.1506766400777553 51.48509240956153_ -0.1491119035287124 51.48509240956153
25,5.812894, -0.1491119035287124 51.48606667463461_ -0.1491119035287124 51.48704093970768_ -0.1506766400777553 51.48704093970768_ -0.1506766400777553 51.48606667463461_ -0.1491119035287124 51.48606667463461
26,5.840281, -0.1491119035287124 51.48704093970768_ -0.1491119035287124 51.488015204780766_ -0.1506766400777553 51.488015204780766_ -0.1506766400777553 51.48704093970768_ -0.1491119035287124 51.48704093970768
27,5.7115974, -0.1491119035287124 51.488015204780766_ -0.1491119035287124 51.48898946985384_ -0.1506766400777553 51.48898946985384_ -0.1506766400777553 51.488015204780766_ -0.1491119035287124 51.488015204780766
28,5.8146367, -0.1491119035287124 51.48898946985384_ -0.1491119035287124 51.489963734926924_ -0.1506766400777553 51.489963734926924_ -0.1506766400777553 51.48898946985384_ -0.1491119035287124 51.48898946985384
29,4.118063, -0.1491119035287124 51.489963734926924_ -0.1491119035287124 51.490938_ -0.1506766400777553 51.490938_ -0.1506766400777553 51.489963734926924_ -0.1491119035287124 51.489963734926924
30,6.1001678, -0.1491119035287124 51.490938_ -0.1491119035287124 51.491912265073076_ -0.1506766400777553 51.491912265073076_ -0.1506766400777553 51.490938_ -0.1491119035287124 51.490938
31,5.559304, -0.1491119035287124 51.491912265073076_ -0.1491119035287124 51.49288653014616_ -0.1506766400777553 51.49288653014616_ -0.1506766400777553 51.491912265073076_ -0.1491119035287124 51.491912265073076
32,5.546689, -0.1491119035287124 51.49288653014616_ -0.1491119035287124 51.493860795219234_ -0.1506766400777553 51.493860795219234_ -0.1506766400777553 51.49288653014616_ -0.1491119035287124 51.49288653014616
33,5.222559, -0.1491119035287124 51.493860795219234_ -0.1491119035287124 51.49483506029232_ -0.1506766400777553 51.49483506029232_ -0.1506766400777553 51.493860795219234_ -0.1491119035287124 51.493860795219234
34,5.176552, -0.1491119035287124 51.49483506029232_ -0.1491119035287124 51.49580932536539_ -0.1506766400777553 51.49580932536539_ -0.1506766400777553 51.49483506029232_ -0.1491119035287124 51.49483506029232
35,5.1311874, -0.1491119035287124 51.49580932536539_ -0.1491119035287124 51.49678359043847_ -0.1506766400777553 51.49678359043847_ -0.1506766400777553 51.49580932536539_ -0.1491119035287124 51.49580932536539
36,5.1969805, -0.1491119035287124 51.49678359043847_ -0.1491119035287124 51.49775785551155_ -0.1506766400777553 51.49775785551155_ -0.1506766400777553 51.49678359043847_ -0.1491119035287124 51.49678359043847
37,5.119509, -0.1491119035287124 51.49775785551155_ -0.1491119035287124 51.49873212058463_ -0.1506766400777553 51.49873212058463_ -0.1506766400777553 51.49775785551155_ -0.1491119035287124 51.49775785551155
38,5.098731, -0.1491119035287124 51.49873212058463_ -0.1491119035287124 51.49970638565771_ -0.1506766400777553 51.49970638565771_ -0.1506766400777553 51.49873212058463_ -0.1491119035287124 51.49873212058463
39,5.2304964, -0.1491119035287124 51.49970638565771_ -0.1491119035287124 51.500680650730786_ -0.1506766400777553 51.500680650730786_ -0.1506766400777553 51.49970638565771_ -0.1491119035287124 51.49970638565771
40,5.070759, -0.1491119035287124 51.500680650730786_ -0.1491119035287124 51.50165491580386_ -0.1506766400777553 51.50165491580386_ -0.1506766400777553 51.500680650730786_ -0.1491119035287124 51.500680650730786
41,5.07959, -0.1491119035287124 51.50165491580386_ -0.1491119035287124 51.502629180876944_ -0.1506766400777553 51.502629180876944_ -0.1506766400777553 51.50165491580386_ -0.1491119035287124 51.50165491580386
42,5.1149406, -0.1491119035287124 51.502629180876944_ -0.1491119035287124 51.50360344595002_ -0.1506766400777553 51.50360344595002_ -0.1506766400777553 51.502629180876944_ -0.1491119035287124 51.502629180876944
43,5.2358985, -0.1491119035287124 51.50360344595002_ -0.1491119035287124 51.5045777110231_ -0.1506766400777553 51.5045777110231_ -0.1506766400777553 51.50360344595002_ -0.1491119035287124 51.50360344595002
44,5.1927466, -0.1491119035287124 51.5045777110231_ -0.1491119035287124 51.50555197609618_ -0.1506766400777553 51.50555197609618_ -0.1506766400777553 51.5045777110231_ -0.1491119035287124 51.5045777110231
45,5.245673, -0.1491119035287124 51.50555197609618_ -0.1491119035287124 51.506526241169254_ -0.1506766400777553 51.506526241169254_ -0.1506766400777553 51.50555197609618_ -0.1491119035287124 51.50555197609618
46,5.311996, -0.1491119035287124 51.506526241169254_ -0.1491119035287124 51.50750050624234_ -0.1506766400777553 51.50750050624234_ -0.1506766400777553 51.506526241169254_ -0.1491119035287124 51.506526241169254
47,5.322724, -0.1491119035287124 51.50750050624234_ -0.1491119035287124 51.50847477131541_ -0.1506766400777553 51.50847477131541_ -0.1506766400777553 51.50750050624234_ -0.1491119035287124 51.50750050624234
48,4.89513, -0.1491119035287124 51.50847477131541_ -0.1491119035287124 51.509449036388496_ -0.1506766400777553 51.509449036388496_ -0.1506766400777553 51.50847477131541_ -0.1491119035287124 51.50847477131541
49,5.0763006, -0.1491119035287124 51.509449036388496_ -0.1491119035287124 51.51042330146157_ -0.1506766400777553 51.51042330146157_ -0.1506766400777553 51.509449036388496_ -0.1491119035287124 51.509449036388496
50,4.074997, -0.1491119035287124 51.51042330146157_ -0.1491119035287124 51.51139756653465_ -0.1506766400777553 51.51139756653465_ -0.1506766400777553 51.51042330146157_ -0.1491119035287124 51.51042330146157
51,4.1070027, -0.1491119035287124 51.51139756653465_ -0.1491119035287124 51.51237183160773_ -0.1506766400777553 51.51237183160773_ -0.1506766400777553 51.51139756653465_ -0.1491119035287124 51.51139756653465
52,5.1398044, -0.1491119035287124 51.51237183160773_ -0.1491119035287124 51.513346096680806_ -0.1506766400777553 51.513346096680806_ -0.1506766400777553 51.51237183160773_ -0.1491119035287124 51.51237183160773
53,5.524395, -0.1491119035287124 51.513346096680806_ -0.1491119035287124 51.51432036175389_ -0.1506766400777553 51.51432036175389_ -0.1506766400777553 51.513346096680806_ -0.1491119035287124 51.513346096680806
54,5.410569, -0.1491119035287124 51.51432036175389_ -0.1491119035287124 51.515294626826964_ -0.1506766400777553 51.515294626826964_ -0.1506766400777553 51.51432036175389_ -0.1491119035287124 51.51432036175389
55,5.496818, -0.1491119035287124 51.515294626826964_ -0.1491119035287124 51.51626889190004_ -0.1506766400777553 51.51626889190004_ -0.1506766400777553 51.515294626826964_ -0.1491119035287124 51.515294626826964
56,5.6534896, -0.1491119035287124 51.51626889190004_ -0.1491119035287124 51.51724315697312_ -0.1506766400777553 51.51724315697312_ -0.1506766400777553 51.51626889190004_ -0.1491119035287124 51.51626889190004
57,5.4603915, -0.1491119035287124 51.51724315697312_ -0.1491119035287124 51.5182174220462_ -0.1506766400777553 51.5182174220462_ -0.1506766400777553 51.51724315697312_ -0.1491119035287124 51.51724315697312
58,5.7498646, -0.1491119035287124 51.5182174220462_ -0.1491119035287124 51.51919168711928_ -0.1506766400777553 51.51919168711928_ -0.1506766400777553 51.5182174220462_ -0.1491119035287124 51.5182174220462
59,5.5543957, -0.1491119035287124 51.51919168711928_ -0.1491119035287124 51.52016595219236_ -0.1506766400777553 51.52016595219236_ -0.1506766400777553 51.51919168711928_ -0.1491119035287124 51.51919168711928
60,4.9405975, -0.1506766400777553 51.46171004780764_ -0.1506766400777553 51.46268431288072_ -0.1522413766267982 51.46268431288072_ -0.1522413766267982 51.46171004780764_ -0.1506766400777553 51.46171004780764
61,4.9757314, -0.1506766400777553 51.46268431288072_ -0.1506766400777553 51.4636585779538_ -0.1522413766267982 51.4636585779538_ -0.1522413766267982 51.46268431288072_ -0.1506766400777553 51.46268431288072
62,5.4357142, -0.1506766400777553 51.4636585779538_ -0.1506766400777553 51.46463284302688_ -0.1522413766267982 51.46463284302688_ -0.1522413766267982 51.4636585779538_ -0.1506766400777553 51.4636585779538
63,6.265808, -0.1506766400777553 51.46463284302688_ -0.1506766400777553 51.46560710809996_ -0.1522413766267982 51.46560710809996_ -0.1522413766267982 51.46463284302688_ -0.1506766400777553 51.46463284302688
64,6.384463, -0.1506766400777553 51.46560710809996_ -0.1506766400777553 51.466581373173035_ -0.1522413766267982 51.466581373173035_ -0.1522413766267982 51.46560710809996_ -0.1506766400777553 51.46560710809996
65,6.2669816, -0.1506766400777553 51.466581373173035_ -0.1506766400777553 51.46755563824611_ -0.1522413766267982 51.46755563824611_ -0.1522413766267982 51.466581373173035_ -0.1506766400777553 51.466581373173035
66,6.0637736, -0.1506766400777553 51.46755563824611_ -0.1506766400777553 51.468529903319194_ -0.1522413766267982 51.468529903319194_ -0.1522413766267982 51.46755563824611_ -0.1506766400777553 51.46755563824611
67,5.6007967, -0.1506766400777553 51.468529903319194_ -0.1506766400777553 51.46950416839227_ -0.1522413766267982 51.46950416839227_ -0.1522413766267982 51.468529903319194_ -0.1506766400777553 51.468529903319194
68,5.4735537, -0.1506766400777553 51.46950416839227_ -0.1506766400777553 51.47047843346535_ -0.1522413766267982 51.47047843346535_ -0.1522413766267982 51.46950416839227_ -0.1506766400777553 51.46950416839227
69,5.415286, -0.1506766400777553 51.47047843346535_ -0.1506766400777553 51.47145269853843_ -0.1522413766267982 51.47145269853843_ -0.1522413766267982 51.47047843346535_ -0.1506766400777553 51.47047843346535
70,5.3106966, -0.1506766400777553 51.47145269853843_ -0.1506766400777553 51.472426963611504_ -0.1522413766267982 51.472426963611504_ -0.1522413766267982 51.47145269853843_ -0.1506766400777553 51.47145269853843
71,5.0499525, -0.1506766400777553 51.472426963611504_ -0.1506766400777553 51.47340122868459_ -0.1522413766267982 51.47340122868459_ -0.1522413766267982 51.472426963611504_ -0.1506766400777553 51.472426963611504
72,5.206867, -0.1506766400777553 51.47340122868459_ -0.1506766400777553 51.47437549375766_ -0.1522413766267982 51.47437549375766_ -0.1522413766267982 51.47340122868459_ -0.1506766400777553 51.47340122868459
73,5.2116137, -0.1506766400777553 51.47437549375766_ -0.1506766400777553 51.475349758830745_ -0.1522413766267982 51.475349758830745_ -0.1522413766267982 51.47437549375766_ -0.1506766400777553 51.47437549375766
74,5.04567, -0.1506766400777553 51.475349758830745_ -0.1506766400777553 51.47632402390382_ -0.1522413766267982 51.47632402390382_ -0.1522413766267982 51.475349758830745_ -0.1506766400777553 51.475349758830745
75,4.299568, -0.1506766400777553 51.47632402390382_ -0.1506766400777553 51.4772982889769_ -0.1522413766267982 51.4772982889769_ -0.1522413766267982 51.47632402390382_ -0.1506766400777553 51.47632402390382
76,5.058298, -0.1506766400777553 51.4772982889769_ -0.1506766400777553 51.47827255404998_ -0.1522413766267982 51.47827255404998_ -0.1522413766267982 51.4772982889769_ -0.1506766400777553 51.4772982889769
77,4.879218, -0.1506766400777553 51.47827255404998_ -0.1506766400777553 51.479246819123055_ -0.1522413766267982 51.479246819123055_ -0.1522413766267982 51.47827255404998_ -0.1506766400777553 51.47827255404998
78,4.822412, -0.1506766400777553 51.479246819123055_ -0.1506766400777553 51.48022108419614_ -0.1522413766267982 51.48022108419614_ -0.1522413766267982 51.479246819123055_ -0.1506766400777553 51.479246819123055
79,4.747013, -0.1506766400777553 51.48022108419614_ -0.1506766400777553 51.481195349269214_ -0.1522413766267982 51.481195349269214_ -0.1522413766267982 51.48022108419614_ -0.1506766400777553 51.48022108419614
80,4.767576, -0.1506766400777553 51.481195349269214_ -0.1506766400777553 51.48216961434229_ -0.1522413766267982 51.48216961434229_ -0.1522413766267982 51.481195349269214_ -0.1506766400777553 51.481195349269214
81,5.032858, -0.1506766400777553 51.48216961434229_ -0.1506766400777553 51.48314387941537_ -0.1522413766267982 51.48314387941537_ -0.1522413766267982 51.48216961434229_ -0.1506766400777553 51.48216961434229
82,5.063528, -0.1506766400777553 51.48314387941537_ -0.1506766400777553 51.48411814448845_ -0.1522413766267982 51.48411814448845_ -0.1522413766267982 51.48314387941537_ -0.1506766400777553 51.48314387941537
83,5.7087703, -0.1506766400777553 51.48411814448845_ -0.1506766400777553 51.48509240956153_ -0.1522413766267982 51.48509240956153_ -0.1522413766267982 51.48411814448845_ -0.1506766400777553 51.48411814448845
84,5.734787, -0.1506766400777553 51.48509240956153_ -0.1506766400777553 51.48606667463461_ -0.1522413766267982 51.48606667463461_ -0.1522413766267982 51.48509240956153_ -0.1506766400777553 51.48509240956153
85,5.6231427, -0.1506766400777553 51.48606667463461_ -0.1506766400777553 51.48704093970768_ -0.1522413766267982 51.48704093970768_ -0.1522413766267982 51.48606667463461_ -0.1506766400777553 51.48606667463461
86,4.0455027, -0.1506766400777553 51.48704093970768_ -0.1506766400777553 51.488015204780766_ -0.1522413766267982 51.488015204780766_ -0.1522413766267982 51.48704093970768_ -0.1506766400777553 51.48704093970768
87,5.6770067, -0.1506766400777553 51.488015204780766_ -0.1506766400777553 51.48898946985384_ -0.1522413766267982 51.48898946985384_ -0.1522413766267982 51.488015204780766_ -0.1506766400777553 51.488015204780766
88,5.7957406, -0.1506766400777553 51.48898946985384_ -0.1506766400777553 51.489963734926924_ -0.1522413766267982 51.489963734926924_ -0.1522413766267982 51.48898946985384_ -0.1506766400777553 51.48898946985384
89,5.9678507, -0.1506766400777553 51.489963734926924_ -0.1506766400777553 51.490938_ -0.1522413766267982 51.490938_ -0.1522413766267982 51.489963734926924_ -0.1506766400777553 51.489963734926924
90,5.9574943, -0.1506766400777553 51.490938_ -0.1506766400777553 51.491912265073076_ -0.1522413766267982 51.491912265073076_ -0.1522413766267982 51.490938_ -0.1506766400777553 51.490938
91,5.287442, -0.1506766400777553 51.491912265073076_ -0.1506766400777553 51.49288653014616_ -0.1522413766267982 51.49288653014616_ -0.1522413766267982 51.491912265073076_ -0.1506766400777553 51.491912265073076
